,positive,pos_count,negative,neg_count,keyword
0,출시,44,손실,14.0,한미약품
1,수상,16,여파,5.0,한미약품
2,증가,5,소송,2.0,한미약품
3,승인,4,해지,1.0,한미약품
4,순항,2,0,0.0,한미약품
5,상승,2,0,0.0,한미약품
6,주목,1,0,0.0,한미약품
