,positive,pos_count,negative,neg_count,keyword
0,상승,2.0,피해,7,대한공항
1,0,0.0,문제,6,대한공항
2,0,0.0,논란,2,대한공항
3,0,0.0,취약,2,대한공항
4,0,0.0,손실,1,대한공항
