,positive,pos_count,negative,neg_count,keyword
0,상승,38.0,하락,34,신풍제약
1,주목,2.0,급락,17,신풍제약
2,대박,2.0,매각,9,신풍제약
3,돌파,1.0,논란,4,신풍제약
4,0,0.0,부채,2,신풍제약
5,0,0.0,우려,1,신풍제약
