,date,close,volume,keyword
0,2020-10-30,38700,94063,하나투어
1,2020-10-29,38800,252954,하나투어
2,2020-10-28,40400,72560,하나투어
3,2020-10-27,40200,83471,하나투어
4,2020-10-26,40550,71678,하나투어
5,2020-10-23,41150,96638,하나투어
6,2020-10-22,40700,71267,하나투어
7,2020-10-21,41100,108409,하나투어
8,2020-10-20,40500,91247,하나투어
9,2020-10-19,41100,158211,하나투어
10,2020-10-16,40800,93294,하나투어
11,2020-10-15,40500,104566,하나투어
12,2020-10-14,40700,133381,하나투어
13,2020-10-13,41500,139633,하나투어
14,2020-10-12,42100,745200,하나투어
15,2020-10-08,40300,229450,하나투어
16,2020-10-07,39500,79300,하나투어
17,2020-10-06,39350,76775,하나투어
18,2020-10-05,39300,72342,하나투어
19,2020-09-29,39200,83025,하나투어
20,2020-09-28,39100,143469,하나투어
21,2020-09-25,38150,66996,하나투어
22,2020-09-24,37300,76745,하나투어
23,2020-09-23,37500,121398,하나투어
24,2020-09-22,38000,118895,하나투어
25,2020-09-21,38650,87744,하나투어
26,2020-09-18,39050,117179,하나투어
27,2020-09-17,39100,128990,하나투어
28,2020-09-16,39900,116428,하나투어
29,2020-09-15,40050,93756,하나투어
30,2020-09-14,39900,92916,하나투어
31,2020-09-11,39350,59557,하나투어
32,2020-09-10,39400,77419,하나투어
33,2020-09-09,39400,76174,하나투어
34,2020-09-08,39600,82162,하나투어
35,2020-09-07,39350,118494,하나투어
36,2020-09-04,39100,257591,하나투어
37,2020-09-03,40000,141850,하나투어
38,2020-09-02,40200,189391,하나투어
39,2020-09-01,39000,92141,하나투어
40,2020-08-31,38400,90801,하나투어
41,2020-08-28,37650,70270,하나투어
42,2020-08-27,37550,94015,하나투어
43,2020-08-26,38450,85931,하나투어
44,2020-08-25,38300,147333,하나투어
45,2020-08-24,37000,87180,하나투어
46,2020-08-21,37300,72474,하나투어
47,2020-08-20,36450,238461,하나투어
48,2020-08-19,37950,168619,하나투어
49,2020-08-18,37600,471776,하나투어
50,2020-08-14,40950,266705,하나투어
51,2020-08-13,41950,424112,하나투어
52,2020-08-12,41500,2248457,하나투어
53,2020-08-11,39050,120384,하나투어
54,2020-08-10,39000,120051,하나투어
55,2020-08-07,38600,540515,하나투어
56,2020-08-06,37150,86530,하나투어
57,2020-08-05,36950,72495,하나투어
58,2020-08-04,36900,65189,하나투어
59,2020-08-03,36850,90290,하나투어
60,2020-07-31,37750,38762,하나투어
61,2020-07-30,38100,92682,하나투어
62,2020-07-29,37800,80859,하나투어
63,2020-07-28,37800,97228,하나투어
64,2020-07-27,37250,61438,하나투어
65,2020-07-24,37350,89923,하나투어
66,2020-07-23,38050,106162,하나투어
67,2020-07-22,38400,102528,하나투어
68,2020-07-21,39050,151164,하나투어
69,2020-07-20,37450,67579,하나투어
70,2020-07-17,38100,70224,하나투어
71,2020-07-16,38850,212947,하나투어
72,2020-07-15,37800,175352,하나투어
73,2020-07-14,35950,62809,하나투어
74,2020-07-13,35800,107223,하나투어
75,2020-07-10,36100,74694,하나투어
76,2020-07-09,36750,63014,하나투어
77,2020-07-08,36900,35755,하나투어
78,2020-07-07,36900,69380,하나투어
79,2020-07-06,37500,57194,하나투어
80,2020-07-03,38000,35645,하나투어
81,2020-07-02,38200,37508,하나투어
82,2020-07-01,38100,59908,하나투어
83,2020-06-30,38350,139703,하나투어
84,2020-06-29,36400,45751,하나투어
85,2020-06-26,37200,38536,하나투어
86,2020-06-25,36600,70045,하나투어
87,2020-06-24,37150,71094,하나투어
88,2020-06-23,37400,79957,하나투어
89,2020-06-22,38200,70890,하나투어
90,2020-06-19,39000,54204,하나투어
91,2020-06-18,39350,46628,하나투어
92,2020-06-17,40000,58147,하나투어
93,2020-06-16,40300,65401,하나투어
94,2020-06-15,38850,129268,하나투어
95,2020-06-12,40000,143067,하나투어
96,2020-06-11,41200,110276,하나투어
97,2020-06-10,41750,62929,하나투어
98,2020-06-09,42250,116084,하나투어
99,2020-06-08,42850,159408,하나투어
100,2020-06-05,43050,265035,하나투어
101,2020-06-04,41950,229207,하나투어
102,2020-06-03,41500,155054,하나투어
103,2020-06-02,41100,107116,하나투어
104,2020-06-01,41100,63135,하나투어
105,2020-05-29,40600,53458,하나투어
106,2020-05-28,41050,206307,하나투어
107,2020-05-27,42450,246214,하나투어
108,2020-05-26,41800,192623,하나투어
109,2020-05-25,40100,95323,하나투어
110,2020-05-22,40450,83649,하나투어
111,2020-05-21,41100,97607,하나투어
112,2020-05-20,41500,155783,하나투어
113,2020-05-19,41750,609857,하나투어
114,2020-05-18,39000,278157,하나투어
115,2020-05-15,36700,100124,하나투어
116,2020-05-14,37250,205750,하나투어
117,2020-05-13,38800,123511,하나투어
118,2020-05-12,39700,84878,하나투어
119,2020-05-11,40450,146427,하나투어
120,2020-05-08,41550,113098,하나투어
121,2020-05-07,41450,96663,하나투어
122,2020-05-06,41350,80580,하나투어
123,2020-05-04,41200,102225,하나투어
124,2020-04-29,42400,165477,하나투어
125,2020-04-28,42700,601316,하나투어
126,2020-04-27,40800,76955,하나투어
127,2020-04-24,40350,67124,하나투어
128,2020-04-23,40950,85286,하나투어
129,2020-04-22,40750,69216,하나투어
130,2020-04-21,41000,182702,하나투어
131,2020-04-20,41750,200003,하나투어
132,2020-04-17,40800,198609,하나투어
133,2020-04-16,39950,98660,하나투어
134,2020-04-14,40300,100507,하나투어
135,2020-04-13,40150,223747,하나투어
136,2020-04-10,42150,138780,하나투어
137,2020-04-09,42950,120359,하나투어
138,2020-04-08,41200,214675,하나투어
139,2020-04-07,40150,205954,하나투어
140,2020-04-06,38850,198852,하나투어
141,2020-04-03,37450,89315,하나투어
142,2020-04-02,36900,185771,하나투어
143,2020-04-01,37100,184012,하나투어
144,2020-03-31,37100,101737,하나투어
145,2020-03-30,36550,133274,하나투어
146,2020-03-27,36800,254739,하나투어
