,positive,pos_count,negative,neg_count,keyword
0,협력,5.0,적발,18,삼성전자
1,출시,5.0,기소,12,삼성전자
2,상승,2.0,의혹,5,삼성전자
3,역대,1.0,리스크,3,삼성전자
4,최고,1.0,혐의,2,삼성전자
5,0,0.0,논란,1,삼성전자
6,0,0.0,약세,1,삼성전자
