,positive,pos_count,negative,neg_count,keyword
0,상승,8,하락,4,대한항공
1,최고,8,한숨,2,대한항공
2,순항,4,울상,2,대한항공
3,역대,3,매각,1,대한항공
4,전망,2,중단,1,대한항공
5,미소,1,최악,1,대한항공
6,돌파,1,눈물,1,대한항공
