,positive,pos_count,negative,neg_count,stock,date,close,volume,stock,title,2015/12,2016/12,2017/12,2018/12,2019/12,2020/12(E),2021/12(E),2022/12(E),stock
0,최고,28.0,중단,4.0,대한항공,,,,,"대한항공, 3분기 영업이익 76억원…작년 대비 94% 감소",,,,,,,,,
1,수상,4.0,손실,3.0,대한항공,2020-11-06,20800.0,1889135.0,대한항공,"대한항공, 美 LA윌셔호텔 지분 매각 협의 중단",,,,,,,,,
2,전망,3.0,직격탄,3.0,대한항공,2020-11-05,20500.0,1169872.0,대한항공,"대한항공, 최악 위기 속 2분기 연속 흑자",,,,,,,,,
3,증가,1.0,눈물,3.0,대한항공,2020-11-04,20250.0,1497490.0,대한항공,대한항공 두 분기 연속흑자지만 1년전 대비 영업이익 94%↓,,,,,,,,,
4,돌파,1.0,매각,2.0,대한항공,2020-11-03,20650.0,943182.0,대한항공,"'깨어난' 비예나, 25점 폭발…대한항공, 현대캐피탈에 역전승",,,,,,,,,
5,,,하락,2.0,대한항공,2020-11-02,20100.0,995166.0,대한항공,대한항공 3분기도 76억 흑자 선방…SKT·LGU+는 호조,,,,,,,,,
6,,,반토막,2.0,대한항공,,,,,"돈 빌릴 곳 없는 항공업계, 유상증자로 돌파구…티웨이·에어부산도 동참",,,,,,,,,
7,,,최악,1.0,대한항공,,,,,"[속보] 대한항공, 3분기 76억원 흑자…""2분기 연속 흑자 행진""",,,,,,,,,
8,,,문제,1.0,대한항공,,,,,"살아난 비예나, 대한항공 2연패 탈출+3위 도약",,,,,,,,,
9,,,급락,1.0,대한항공,2020-10-30,19950.0,1250837.0,대한항공,대한항공의 환호,,,,,,,,,
10,,,여파,1.0,대한항공,2020-10-29,20300.0,1678490.0,대한항공,중앙 약해진 거 아니었나?…'블로킹 1위' 대한항공의 마법,,,,,,,,,
11,,,,,,2020-10-28,20800.0,1026033.0,대한항공,"대한항공, 한진인터네셔널에 3977억원 보증",,,,,,,,,
12,,,,,,2020-10-27,20750.0,1602797.0,대한항공,"한 테이블 앉는 대한항공-서울시, 이번엔 송현동 부지 해법 찾을까",,,,,,,,,
13,,,,,,2020-10-26,21400.0,1656051.0,대한항공,대한항공 3분기 매출액 1조5508억원…전년비 53%↓(2보),,,,,,,,,
14,,,,,,,,,,"대한항공, 항공교통서비스평가서 '최고' 등급",,,,,,,,,
15,,,,,,,,,,"""이제 JAL이 KAL에 배워야""…대한항공, 코로나19의 역설",,,,,,,,,
16,,,,,,2020-10-23,21150.0,1437052.0,대한항공,"대한항공, 3분기 영업익 76억…전년比 93.6%↓",,,,,,,,,
17,,,,,,2020-10-22,21000.0,1326700.0,대한항공,[공진단]11월 4일 공시진단 리뷰...대한항공,,,,,,,,,
18,,,,,,2020-10-21,21000.0,2511829.0,대한항공,"대한항공, 계열사에 3978억 규모 채무보증 결정",,,,,,,,,
19,,,,,,2020-10-20,20450.0,949896.0,대한항공,"한진인터, 브릿지론·지분매각 중단…대한항공에 3.5억달러 상환",,,,,,,,,
20,,,,,,2020-10-19,20550.0,1352957.0,대한항공,해운·항공 운임 '반짝' 급등…언제까지?,,,,,,,,,
21,,,,,,,,,,[데스크리포트] 11월 기업 동향과 전망-항공 물류,,,,,,,,,
22,,,,,,,,,,"대한항공 비예나 ""그동안 못해서 많이 힘들고 민망했다""",,,,,,,,,
23,,,,,,,,,,"대한항공, '항공교통서비스평가' 전 항목 최고등급",,,,,,,,,
24,,,,,,2020-10-16,20350.0,1063705.0,대한항공,"[천안 승장]대한항공 산틸리 감독의 믿음 ""원했던 배구가 안된다고 해서 두렵...",,,,,,,,,
25,,,,,,2020-10-15,20700.0,1736304.0,대한항공,"비예나 25점 폭발...대한항공, 현대캐피탈에 역전승",,,,,,,,,
26,,,,,,2020-10-14,20500.0,1687204.0,대한항공,"대한항공, 'C-쇼크' 속 3Q 영업익 76억 흑자…당기순손실 3859억, 적자 늪 지...",,,,,,,,,
27,,,,,,2020-10-13,20450.0,2550228.0,대한항공,"항공업계, 고금리 기안기금보다는 각자도생으로 보릿고개 버티기",,,,,,,,,
28,,,,,,2020-10-12,20650.0,4863798.0,대한항공,대한항공 ‘2019 항공교통서비스평가’서 전 항목 최고 등급,,,,,,,,,
29,,,,,,,,,,"대한항공, 국토부 항공교통서비스평가서 '최고' 등급",,,,,,,,,
30,,,,,,,,,,"기안기금 주저하는 항공 업계…""고금리에 언감생심""",,,,,,,,,
31,,,,,,2020-10-08,19750.0,2323815.0,대한항공,3분기 실적도 '암울'…항공사 '보릿고개 버티기',,,,,,,,,
32,,,,,,2020-10-07,19750.0,1791908.0,대한항공,"[천안 리포트]대한항공 산틸리 감독 ""외국인 선수 늘리면 V리그 더 좋아질 것...",,,,,,,,,
33,,,,,,2020-10-06,19800.0,4122388.0,대한항공,"코로나 직격탄 맞은 호텔-항공株, 주가 반등 시동거나",,,,,,,,,
34,,,,,,2020-10-05,19300.0,1872158.0,대한항공,美 대선 이후 유가·환율 흐름에 항공업계 촉각,,,,,,,,,
35,,,,,,2020-09-29,18850.0,922389.0,대한항공,"대한항공, 국토교통부 항공교통서비스평가 전 항목 'A학점'",,,,,,,,,
36,,,,,,,,,,10월 국내선 선방에도 웃지 못하는 항공업계,,,,,,,,,
37,,,,,,,,,,"대한항공, ‘2019 항공교통서비스평가’ 전항목 최고 등급",,,,,,,,,
38,,,,,,,,,,"제주항공에 1,900억원 지원···자금난 숨통 틔운다",,,,,,,,,
39,,,,,,2020-09-28,18800.0,966495.0,대한항공,"대한항공, 국토부 '2019 항공교통서비스평가' 전 항목 최고 등급 달성",,,,,,,,,
40,,,,,,2020-09-25,18350.0,895129.0,대한항공,"대한항공 정시성, 안전성, 소비자 보호 등 3개 항목 최고 등급",,,,,,,,,
41,,,,,,2020-09-24,18000.0,1234760.0,대한항공,대한항공 '마일리지 세계일주' 내년 4월 없앤다… 소비자들 “코로나로 못 갔...,,,,,,,,,
42,,,,,,2020-09-23,18550.0,1071051.0,대한항공,"항공업계, 고용안정 TF 발족…민간차원 고용문제 공동대응",,,,,,,,,
43,,,,,,2020-09-22,18400.0,1277582.0,대한항공,"[천안 히어로]이제야 이름값 한 대한항공 비예나 ""아직 60% 정도다. 계속 좋아...",,,,,,,,,
44,,,,,,,,,,"대한항공, ‘계량측정의 날’ 국무총리 표창 수상",,,,,,,,,
45,,,,,,,,,,화물운송 뛰어들었는데...LCC는 왜 대형항공사만큼 수익 못낼까?,,,,,,,,,
46,,,,,,2020-09-21,18850.0,1060962.0,대한항공,"케이타 앞세운 KB손보, ‘1강’ 대한항공까지 넘었다",,,,,,,,,
47,,,,,,2020-09-18,18800.0,1085793.0,대한항공,환호하는 대한항공,,,,,,,,,
48,,,,,,2020-09-17,18900.0,1665379.0,대한항공,"'비예나 26점' 대한항공, 현대캐피탈에 3-1 역전승…3위 점프",,,,,,,,,
49,,,,,,2020-09-16,19200.0,1827006.0,대한항공,"대한항공, 국토부 ‘2019 항공교통서비스평가’서 전 항목 최고 등급 받아",,,,,,,,,
50,,,,,,2020-09-15,19150.0,2734410.0,대한항공,"[아시아나 감자] 더이상 팔 것도 없다…항공업계, 자본잠식 '공포감'",,,,,,,,,
51,,,,,,,,,,"[특징주]아시아나 무상감자·코로나 재확산, 항공주 ‘급락’",,,,,,,,,
52,,,,,,,,,,"현대캐피탈 vs 대한항공, 전통의 강호들의 첫 대결",,,,,,,,,
53,,,,,,,,,,여객 수 회복에도 항공사 보릿고개,,,,,,,,,
54,,,,,,2020-09-14,18650.0,1374483.0,대한항공,"대한항공, '2019 항공교통서비스평가'서 전 항목 최고 등급",,,,,,,,,
55,,,,,,2020-09-11,18300.0,885572.0,대한항공,한국항공대 국토교통부 항공정비사 전문 교육기관 지정,,,,,,,,,
56,,,,,,2020-09-10,18550.0,1168028.0,대한항공,"대한항공, '계량측정의 날' 국무총리 표창 받아",,,,,,,,,
57,,,,,,2020-09-09,18400.0,1336197.0,대한항공,"제주항공 김세균 실장, 석탑산업훈장 수상 영예",,,,,,,,,
58,,,,,,2020-09-08,18750.0,1345846.0,대한항공,"[공시]국민연금, 대한항공 지분 ‘7.01→8.11%’ 증가",,,,,,,,,
59,,,,,,,,,,"'말리특급' 케이타 37점 폭발…KB손보, 대한항공 넘어 3연승(종합)",,,,,,,,,
60,,,,,,,,,,"'코로나 전세기' 띄운 대한항공, 항공 1위…코오롱, MZ세대에 호평",,,,,,,,,
61,,,,,,2020-09-07,18700.0,1779499.0,대한항공,"안 가리는 케이타, 사실 대한항공전 벼렀다",,,,,,,,,
62,,,,,,2020-09-04,18600.0,2084703.0,대한항공,"청주시, 대한항공 등에 19억8천만원 재정지원금 지원",,,,,,,,,
63,,,,,,2020-09-03,18500.0,1841239.0,대한항공,항공업계 '코로나 3분기'… FSC '울고' LCC '웃을까',,,,,,,,,
64,,,,,,2020-09-02,18350.0,1617605.0,대한항공,"반등 희망 보여준 비예나, 대한항공 정규리그 천안 원정 5연승을 이끌다",,,,,,,,,
65,,,,,,2020-09-01,17950.0,1103462.0,대한항공,"KB손해보험, 대한항공 꺾고 3연승…1위 도약",,,,,,,,,
66,,,,,,,,,,"대한항공, ‘계량측정의 날’ 국무총리 표창 수상",,,,,,,,,
67,,,,,,,,,,'국내선'이 살린 10월 항공실적…코로나 사태 후 감소율 최저,,,,,,,,,
68,,,,,,,,,,"대한항공, '계량측정의 날' 국무총리 표창 수상",,,,,,,,,
69,,,,,,2020-08-31,17650.0,1401275.0,대한항공,"한국항공대, 국토교통부 항공정비사 전문교육기관 지정",,,,,,,,,
70,,,,,,2020-08-28,17800.0,1288063.0,대한항공,"위기에 빛난 대한항공·아시아나, 비결은 ‘화물’",,,,,,,,,
71,,,,,,2020-08-27,17750.0,1111225.0,대한항공,"[혹독한 항공업계, 비상탈출 시작됐다] “면접장 가니 절반이 승무원이에요”",,,,,,,,,
72,,,,,,2020-08-26,18000.0,1362809.0,대한항공,"수하물 잘못 보낸 제주항공, 손해배상해야",,,,,,,,,
73,,,,,,2020-08-25,18200.0,1366044.0,대한항공,"항공업계, 중국·일본행 비행기 재개 활발…하늘길 열리나",,,,,,,,,
74,,,,,,,,,,"[공시요정]'특가 세일' 항공사 실권주, 연속 매진 행렬",,,,,,,,,
75,,,,,,,,,,"기안기금 2호 제주항공 지원 지연.. ""재무제표 추가 점검""",,,,,,,,,
