,positive,pos_count,negative,neg_count,stock
0,승인,3223,하락,84.0,셀트리온
1,상승,2901,소송,30.0,셀트리온
2,출시,2844,중단,15.0,셀트리온
3,순항,48,약세,12.0,셀트리온
4,체결,47,급락,8.0,셀트리온
5,증가,39,논란,8.0,셀트리온
6,전망,27,문제,5.0,셀트리온
7,주목,14,우려,4.0,셀트리온
8,진출,12,리스크,4.0,셀트리온
9,최고,10,매각,4.0,셀트리온
10,역대,9,급감,3.0,셀트리온
11,협력,8,의혹,2.0,셀트리온
12,돌파,7,침해,2.0,셀트리온
13,신제품,6,취약,2.0,셀트리온
14,부상,5,불똥,1.0,셀트리온
15,유치,3,울상,1.0,셀트리온
16,기부,3,발끈,1.0,셀트리온
17,신기록,2,여파,1.0,셀트리온
18,대박,2,,,셀트리온
19,진화,1,,,셀트리온
20,대세,1,,,셀트리온
