,positive,pos_count,negative,neg_count,keyword
0,승인,3085,하락,68.0,셀트리온
1,출시,579,소송,30.0,셀트리온
2,상승,84,중단,12.0,셀트리온
3,체결,52,약세,9.0,셀트리온
4,순항,50,급락,7.0,셀트리온
5,수상,39,논란,6.0,셀트리온
6,증가,37,급감,4.0,셀트리온
7,전망,21,문제,3.0,셀트리온
8,역대,17,우려,3.0,셀트리온
9,진출,11,리스크,3.0,셀트리온
10,주목,10,의혹,2.0,셀트리온
11,돌파,7,침해,2.0,셀트리온
12,최고,7,매각,2.0,셀트리온
13,신제품,6,불똥,1.0,셀트리온
14,협력,6,울상,1.0,셀트리온
15,신기록,2,발끈,1.0,셀트리온
16,부상,2,여파,1.0,셀트리온
17,유치,2,취약,1.0,셀트리온
18,대박,2,0,0.0,셀트리온
19,기부,2,0,0.0,셀트리온
20,진화,1,0,0.0,셀트리온
21,대세,1,0,0.0,셀트리온
